Key,Value_Length,Read_Duration
lorem_0,0,0.00022792816162109375
lorem_5,49,0.00011897087097167969
lorem_10,75,6.699562072753906e-05
lorem_15,120,6.103515625e-05
lorem_20,163,5.888938903808594e-05
lorem_25,164,0.000164031982421875
lorem_30,201,6.103515625e-05
lorem_35,253,4.6253204345703125e-05
lorem_40,282,4.38690185546875e-05
lorem_45,333,4.291534423828125e-05
lorem_50,384,4.1961669921875e-05
lorem_55,440,8.273124694824219e-05
lorem_60,434,4.8160552978515625e-05
lorem_65,495,4.601478576660156e-05
lorem_70,543,3.361701965332031e-05
lorem_75,536,3.4809112548828125e-05
lorem_80,603,4.076957702636719e-05
lorem_85,609,3.409385681152344e-05
lorem_90,659,3.3855438232421875e-05
lorem_95,702,3.2901763916015625e-05
lorem_100,760,3.361701965332031e-05
lorem_105,792,3.2901763916015625e-05
lorem_110,773,3.409385681152344e-05
lorem_115,864,3.2901763916015625e-05
lorem_120,890,3.3855438232421875e-05
lorem_125,949,2.8133392333984375e-05
lorem_130,980,3.2901763916015625e-05
lorem_135,1013,4.506111145019531e-05
lorem_140,1026,2.9802322387695312e-05
lorem_145,1080,2.7894973754882812e-05
lorem_150,1095,2.8848648071289062e-05
lorem_155,1145,2.7894973754882812e-05
lorem_160,1184,2.7894973754882812e-05
lorem_165,1217,2.8848648071289062e-05
lorem_170,1247,2.6941299438476562e-05
lorem_175,1294,2.6941299438476562e-05
lorem_180,1340,2.8133392333984375e-05
lorem_185,1371,2.7894973754882812e-05
lorem_190,1432,2.8848648071289062e-05
lorem_195,1454,2.6702880859375e-05
lorem_200,1502,7.724761962890625e-05
lorem_205,1542,3.1948089599609375e-05
lorem_210,1557,2.6702880859375e-05
lorem_215,1596,2.5033950805664062e-05
lorem_220,1621,2.5033950805664062e-05
lorem_225,1680,2.5272369384765625e-05
lorem_230,1706,2.7179718017578125e-05
lorem_235,1729,2.4080276489257812e-05
lorem_240,1747,2.4080276489257812e-05
lorem_245,1823,2.4080276489257812e-05
lorem_250,1856,2.3126602172851562e-05
lorem_255,1884,2.7179718017578125e-05
lorem_260,1940,2.4080276489257812e-05
lorem_265,1955,2.384185791015625e-05
lorem_270,2026,2.384185791015625e-05
lorem_275,2031,2.384185791015625e-05
lorem_280,2096,2.288818359375e-05
lorem_285,2121,2.384185791015625e-05
lorem_290,2154,2.384185791015625e-05
lorem_295,2175,2.288818359375e-05
lorem_300,2250,2.4080276489257812e-05
lorem_305,2275,2.384185791015625e-05
lorem_310,2312,2.3126602172851562e-05
lorem_315,2315,2.6702880859375e-05
lorem_320,2382,2.384185791015625e-05
lorem_325,2406,2.5987625122070312e-05
lorem_330,2457,2.384185791015625e-05
lorem_335,2473,2.4080276489257812e-05
lorem_340,2540,2.5987625122070312e-05
lorem_345,2559,2.4080276489257812e-05
lorem_350,2607,2.4080276489257812e-05
lorem_355,2638,2.6226043701171875e-05
lorem_360,2671,2.3126602172851562e-05
lorem_365,2704,2.3126602172851562e-05
lorem_370,2751,2.384185791015625e-05
lorem_375,2785,2.384185791015625e-05
lorem_380,2813,2.5987625122070312e-05
lorem_385,2855,2.3126602172851562e-05
lorem_390,2892,2.5987625122070312e-05
lorem_395,2920,2.288818359375e-05
lorem_400,2960,2.4080276489257812e-05
lorem_405,3025,2.384185791015625e-05
lorem_410,3044,2.5033950805664062e-05
lorem_415,3088,2.574920654296875e-05
lorem_420,3088,2.4080276489257812e-05
lorem_425,3146,2.4080276489257812e-05
lorem_430,3191,2.3126602172851562e-05
