File_Name,File_Size,Number_Chunks,Read_Duration
1_24kb,11669,2,5.033440113067627
2_360kb,17024,3,0.00011706352233886719
3_2mb,1816172,240,5.142517805099487
4_10mb,969865,119,0.026081085205078125
5_15mb,1548020,214,0.0376429557800293
6_18mb,1691019,233,0.028829097747802734
7_19mb,1997361,250,0.05539989471435547
1_24kb,11669,2,0.046861886978149414
2_360kb,17024,3,6.29425048828125e-05
3_2mb,1816172,240,0.03324389457702637
4_10mb,969865,119,0.0174405574798584
5_15mb,1548020,214,0.024682044982910156
6_18mb,1691019,233,0.017515182495117188
7_19mb,1997361,250,0.0401918888092041
1_24kb,11669,2,5.021734237670898
2_360kb,17024,3,0.00014281272888183594
3_2mb,1816172,240,0.06589984893798828
4_10mb,969865,119,0.014365911483764648
5_15mb,1548020,214,0.020596027374267578
6_18mb,1691019,233,0.015100955963134766
7_19mb,1997361,250,0.03245878219604492
