Key,Value_Length,Read_Duration
lorem_0,0,0.00020694732666015625
lorem_5,32,6.4849853515625e-05
lorem_10,71,6.29425048828125e-05
lorem_15,113,6.008148193359375e-05
lorem_20,161,6.103515625e-05
lorem_25,200,5.888938903808594e-05
lorem_30,214,4.38690185546875e-05
lorem_35,235,4.38690185546875e-05
lorem_40,297,4.506111145019531e-05
lorem_45,338,4.410743713378906e-05
lorem_50,347,4.506111145019531e-05
lorem_55,385,4.1961669921875e-05
lorem_60,423,0.02387690544128418
lorem_65,524,3.814697265625e-05
lorem_70,529,2.3126602172851562e-05
lorem_75,566,0.020328998565673828
lorem_80,595,2.5033950805664062e-05
lorem_85,651,1.811981201171875e-05
lorem_90,651,1.5020370483398438e-05
lorem_95,698,1.52587890625e-05
lorem_100,752,1.5020370483398438e-05
lorem_105,773,1.5020370483398438e-05
lorem_110,812,0.0009300708770751953
lorem_115,816,2.09808349609375e-05
lorem_120,846,1.621246337890625e-05
lorem_125,909,1.5020370483398438e-05
lorem_130,943,1.52587890625e-05
lorem_135,1021,0.0008890628814697266
lorem_140,1043,2.002716064453125e-05
lorem_145,1076,1.621246337890625e-05
lorem_150,1096,1.4781951904296875e-05
lorem_155,1166,1.52587890625e-05
lorem_160,1181,0.0005381107330322266
lorem_165,1230,2.193450927734375e-05
lorem_170,1246,1.5020370483398438e-05
lorem_175,1305,1.3113021850585938e-05
lorem_180,1335,1.4066696166992188e-05
lorem_185,1364,1.3113021850585938e-05
lorem_190,1406,1.3113021850585938e-05
lorem_195,1447,1.3113021850585938e-05
lorem_200,1476,1.3113021850585938e-05
lorem_205,1510,1.3113021850585938e-05
lorem_210,1558,1.3113021850585938e-05
lorem_215,1590,1.3113021850585938e-05
lorem_220,1658,1.2874603271484375e-05
lorem_225,1685,1.2874603271484375e-05
lorem_230,1708,1.3113021850585938e-05
lorem_235,1757,1.2874603271484375e-05
lorem_240,1802,0.0005180835723876953
lorem_245,1819,2.3126602172851562e-05
lorem_250,1846,0.000518798828125
lorem_255,1874,1.7881393432617188e-05
lorem_260,1927,1.7881393432617188e-05
lorem_265,1948,1.6927719116210938e-05
lorem_270,2004,1.2874603271484375e-05
lorem_275,2030,1.2159347534179688e-05
lorem_280,2067,1.1920928955078125e-05
lorem_285,2106,1.2159347534179688e-05
lorem_290,2128,1.1920928955078125e-05
lorem_295,2218,1.1920928955078125e-05
lorem_300,2241,0.0009369850158691406
lorem_305,2262,1.6689300537109375e-05
lorem_310,2318,1.9073486328125e-05
lorem_315,2303,1.6927719116210938e-05
lorem_320,2360,0.0007798671722412109
lorem_325,2410,0.0004851818084716797
lorem_330,2441,2.002716064453125e-05
lorem_335,2483,0.0006031990051269531
lorem_340,2536,0.00049591064453125
lorem_345,2560,1.7881393432617188e-05
lorem_350,2599,1.4781951904296875e-05
lorem_355,2636,0.0010387897491455078
lorem_360,2675,1.6927719116210938e-05
lorem_365,2709,1.430511474609375e-05
lorem_370,2731,0.0004878044128417969
lorem_375,2781,0.0004909038543701172
lorem_380,2830,0.0004780292510986328
lorem_385,2861,1.7881393432617188e-05
lorem_390,2882,1.4066696166992188e-05
lorem_395,2937,1.2874603271484375e-05
lorem_400,2986,1.2874603271484375e-05
lorem_405,2986,1.3113021850585938e-05
lorem_410,3040,1.1682510375976562e-05
lorem_415,3080,1.2874603271484375e-05
lorem_420,3140,1.2874603271484375e-05
lorem_425,3150,1.2159347534179688e-05
lorem_430,3186,1.2636184692382812e-05
lorem_435,3230,1.2159347534179688e-05
lorem_440,3269,0.0008919239044189453
lorem_445,3308,1.71661376953125e-05
lorem_450,3341,1.4066696166992188e-05
lorem_455,3389,1.4066696166992188e-05
lorem_460,3446,1.1920928955078125e-05
lorem_465,3442,1.3113021850585938e-05
lorem_470,3450,1.2636184692382812e-05
lorem_475,3501,1.3113021850585938e-05
lorem_480,3543,1.3113021850585938e-05
lorem_485,3615,0.0004799365997314453
lorem_490,3635,0.0004889965057373047
lorem_495,3659,1.7881393432617188e-05
lorem_500,3710,0.0008602142333984375
lorem_505,3783,0.0005137920379638672
lorem_510,3786,1.71661376953125e-05
lorem_515,3821,1.4066696166992188e-05
lorem_520,3861,1.2874603271484375e-05
lorem_525,3903,1.2874603271484375e-05
lorem_530,3918,1.3113021850585938e-05
lorem_535,3965,0.0005009174346923828
lorem_540,4005,0.0009081363677978516
lorem_545,4037,1.71661376953125e-05
lorem_550,4088,1.4066696166992188e-05
lorem_555,4107,1.2874603271484375e-05
lorem_560,4166,1.4066696166992188e-05
lorem_565,4188,1.3113021850585938e-05
lorem_570,4240,0.0007610321044921875
lorem_575,4269,0.0004892349243164062
lorem_580,4315,1.8835067749023438e-05
